# U.S. Standard Atmosphere 1976, generated by nearspace.atmosphere
# Source: NOAA-S/T 76-1562 (NOAA/NASA/USAF), 1976.
altitude_km,temperature_K,pressure_Pa,density_kgm3,speed_of_sound_mps
0,288.150,101325.00000,1.224999e+00,340.294
1,281.651,89876.28519,1.111659e+00,336.435
2,275.154,79501.42464,1.006553e+00,332.532
3,268.659,70121.16224,9.092539e-01,328.584
4,262.166,61660.44413,8.193463e-01,324.589
5,255.676,54048.28615,7.364284e-01,320.546
6,249.187,47217.64248,6.601112e-01,316.452
7,242.700,41105.27573,5.900183e-01,312.306
8,236.215,35651.62834,5.257860e-01,308.105
9,229.733,30800.69526,4.670630e-01,303.848
10,223.252,26499.89814,4.135104e-01,299.532
11,216.774,22699.96074,3.648016e-01,295.154
12,216.650,19399.44848,3.119381e-01,295.070
13,216.650,16579.62543,2.665961e-01,295.070
14,216.650,14170.37884,2.278561e-01,295.070
15,216.650,12111.82570,1.947550e-01,295.070
16,216.650,10352.83180,1.664709e-01,295.070
17,216.650,8849.73138,1.423014e-01,295.070
18,216.650,7565.23449,1.216470e-01,295.070
19,216.650,6467.49443,1.039956e-01,295.070
20,216.650,5529.31189,8.890992e-02,295.070
21,217.581,4728.94229,7.571486e-02,295.703
22,218.574,4047.50002,6.450983e-02,296.377
23,219.567,3466.86670,5.500570e-02,297.049
24,220.560,2971.74681,4.693787e-02,297.720
25,221.552,2549.22299,4.008389e-02,298.389
26,222.544,2188.37747,3.425658e-02,299.056
27,223.536,1879.97508,2.929833e-02,299.722
28,224.527,1616.19779,2.507629e-02,300.386
29,225.518,1390.42198,2.147844e-02,301.048
30,226.509,1197.03164,1.841017e-02,301.709
31,227.500,1031.26136,1.579159e-02,302.368
32,228.490,889.06442,1.355515e-02,303.025
33,230.973,767.30946,1.157304e-02,304.667
34,233.744,663.41305,9.887403e-03,306.489
35,236.513,574.59453,8.463375e-03,308.300
36,239.282,498.52272,7.257918e-03,310.099
37,242.050,433.24846,6.235466e-03,311.888
38,244.818,377.13852,5.366558e-03,313.665
39,247.584,328.82160,4.626743e-03,315.433
40,250.350,287.14396,3.995678e-03,317.189
41,253.114,251.13300,3.456407e-03,318.936
42,255.878,219.96723,2.994764e-03,320.672
43,258.641,192.95148,2.598894e-03,322.399
44,261.403,169.49640,2.258851e-03,324.116
45,264.164,149.10142,1.966280e-03,325.823
46,266.925,131.34065,1.714148e-03,327.521
47,269.684,115.85111,1.496520e-03,329.210
48,270.650,102.29563,1.316700e-03,329.799
49,270.650,90.33679,1.162772e-03,329.799
50,270.650,79.77909,1.026878e-03,329.799
51,270.650,70.45801,9.069015e-04,329.799
52,269.031,62.21475,8.056162e-04,328.811
53,266.277,54.87370,7.179071e-04,327.124
54,263.524,48.33764,6.390042e-04,325.428
55,260.771,42.52512,5.680990e-04,323.724
56,258.019,37.36223,5.044504e-04,322.011
57,255.268,32.78198,4.473794e-04,320.290
58,252.518,28.72369,3.962644e-04,318.560
59,249.769,25.13245,3.505370e-04,316.821
60,247.021,21.95867,3.096778e-04,315.074
61,244.273,19.15754,2.732129e-04,313.316
62,241.527,16.68867,2.407100e-04,311.550
63,238.781,14.51568,2.117753e-04,309.774
64,236.036,12.60584,1.860506e-04,307.988
65,233.292,10.92972,1.632099e-04,306.193
66,230.549,9.46090,1.429575e-04,304.387
67,227.807,8.17571,1.250250e-04,302.572
68,225.065,7.05295,1.091693e-04,300.746
69,222.325,6.07366,9.517013e-05,298.909
70,219.585,5.22090,8.282865e-05,297.061
71,216.846,4.47956,7.196515e-05,295.203
72,214.263,3.83625,6.237318e-05,293.439
73,212.308,3.28022,5.382388e-05,292.098
74,210.353,2.80086,4.638525e-05,290.750
75,208.399,2.38814,3.992107e-05,289.396
76,206.446,2.03329,3.431082e-05,288.037
77,204.493,1.72861,2.944797e-05,286.671
78,202.541,1.46737,2.523851e-05,285.300
79,200.589,1.24370,2.159954e-05,283.922
80,198.639,1.05247,1.845803e-05,282.538
81,196.688,0.88923,1.574977e-05,281.148
82,194.739,0.75009,1.341831e-05,279.751
83,192.790,0.63167,1.141415e-05,278.347
84,190.841,0.53104,9.693872e-06,276.937
85,188.893,0.44568,8.219501e-06,275.520
